event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-14 18:39:49 UTC,cart,3600670,2053013563810775923,appliances.kitchen.washer,hotpoint-ariston,375.56,514994889,a4506c6f-0640-4c90-a73f-e84244ec3ce2
2019-11-10 10:51:09 UTC,cart,1004785,2053013555631882655,electronics.smartphone,huawei,265.04,513438251,b8a51a13-f70f-437b-9e9c-840c4da5966a
2019-11-10 10:20:39 UTC,cart,6200552,2053013552293216471,appliances.environment.air_heater,ballu,108.11,514191707,2e04863c-5400-421f-9c89-9b817861b838
2019-11-14 16:00:55 UTC,view,3601359,2053013563810775923,appliances.kitchen.washer,artel,142.84,556848706,0c421aee-6bca-4d15-ac0d-5b8e7537fcdc
2019-11-01 08:22:07 UTC,cart,1004809,2053013555631882655,electronics.smartphone,xiaomi,123.53,546881341,aafec775-6c1e-414f-aae5-4aea506c2e95
2019-11-13 13:51:32 UTC,cart,2702452,2053013563911439225,appliances.kitchen.refrigerators,dauscher,893.72,523524297,4034d995-e688-4652-9792-cf7235f64cb2
2019-11-08 16:36:19 UTC,cart,26400964,2053013563651392361,,,176.07,513193294,15cdcc95-960b-4723-9dff-62b2ad49c6fa
2019-11-05 08:23:14 UTC,cart,1002544,2053013555631882655,electronics.smartphone,apple,473.37,535658024,30d1e26c-54b4-405c-92d6-c608d58b3a98
2019-11-14 18:02:08 UTC,cart,1005135,2053013555631882655,electronics.smartphone,apple,1644.08,566190658,cdce5d41-d3f9-4dc1-8c68-48a4510ee4fd
2019-11-13 03:02:28 UTC,cart,1005102,2053013555631882655,electronics.smartphone,xiaomi,428.58,514296874,deb1a9ff-6e5e-46dd-8495-43edd1d9f568
2019-11-11 03:51:45 UTC,view,1004957,2053013555631882655,electronics.smartphone,xiaomi,334.33,544687011,f38b48ff-5dda-4419-a7c3-226d2bdc6c76
2019-11-01 16:46:56 UTC,view,5000084,2053013566100866035,appliances.sewing_machine,janome,182.63,514883252,07927bd6-f469-4b98-9276-429ad73e458c
2019-11-04 06:57:35 UTC,purchase,12703485,2053013553559896355,,cordiant,51.22,548131066,c4029298-d96f-4a3f-8352-1454831cec6c
2019-11-14 18:01:04 UTC,purchase,1005280,2053013555631882655,electronics.smartphone,huawei,771.94,514024680,6362d433-f232-41fb-aa5a-5b1479183d25
2019-11-05 15:28:00 UTC,purchase,1005174,2053013555631882655,electronics.smartphone,samsung,643.23,562286333,4d6497fa-6376-4740-a448-3e4f203a5c7a
